Nombre,Apellido(s),"Dirección de correo",Grupos
name1,surname1, name1.surnamme1@educa.madrid.org,1A
name2,surname2, name2.surnamme2@educa.madrid.org,1A
name3,surname3, name3.surnamme3@educa.madrid.org,1A
name4,surname4, name4.surnamme4@educa.madrid.org,1A
name5,surname5, name5.surnamme5@educa.madrid.org,1A
name6,surname6, name6.surnamme6@educa.madrid.org,1A
name7,surname7, name7.surnamme7@educa.madrid.org,1A
name8,surname8, name8.surnamme8@educa.madrid.org,1A
name9,surname9, name9.surnamme9@educa.madrid.org,1A
name10,surname10, name10.surnamme10@educa.madrid.org,1A
name11,surname11, name11.surnamme11@educa.madrid.org,1A
name12,surname12, name12.surnamme12@educa.madrid.org,1A
name13,surname13, name13.surnamme13@educa.madrid.org,1A
name14,surname14, name14.surnamme14@educa.madrid.org,1A
name15,surname15, name15.surnamme15@educa.madrid.org,1A
